name,group,protein,fat,carbs,kcal
Абрикос,Ф,0.8,0,14,56
Авокадо,Ж,1,16,3,160
Айва,Ф,0.6,0,10,58
Алыча,Ф,0.6,0,10,60
Ананас,Ф,0.5,0,13,60
Апельсин,Ф,0.9,0,12,62
Арахіс,О,25,49,16,552
Арбуз,Ф,0.6,0,7,28
Багет з висівками,К,6.7,3.3,43.3,313
Баклажан,ОК,1,0.2,5,22
Банан,Ф,1,0,14,61
Борошно з висівок,К,15,1.6,66,323
Борошно пшеничне 1 ґатунку,К,12,0,72,316
Борошно пшеничне 2 ґатунку,К,12,0,68,316
Борошно пшеничне в/ґ,К,8,0,72,312
Бринза 30%,М,5,6,0,78
Броколі,ОК,2.8,0.4,7,34
Брі,М,6,8,0,95
Бульйон грибний,ОК,0.5,0.2,0.8,10
Бульйон курячий,ОК,2.0,1.0,0.5,15
Бульйонний кубик,ОК,5.0,20.0,15.0,200
Буряк варений,Ф,1,0,11,49
Буряк свіжий,Ф,1,0,10,40
Ванілін,ОК,0.1,0.1,12.7,288
Вершкове масло,Ж,0,85,0,748
Виноград,Ф,0.6,0,16,65
Висівки пшеничні,К,6,2,13,76
Вишня,Ф,1,0,17,68
Вода,ОК,0,0,0,0
Волоський горіх,О,15,65,7,654
Вівсяна каша на воді,К,3.8,2.1,18.8,110
Вівсянка (суха),К,10.8,6,64,304
Гарбуз сирий,К,1.5,0,7.5,60
Гарбузянне насіння,O,30,49,10,574
Горох варений,К,6,0,56,72
Горох сушений,К,6,0,56,90
Горошок зелений заморожений,К,6,0,16,72
Горошок консервований,К,3.3,0,10,82
Гранат,Ф,1,0,17,65
Грейпфрут,Ф,1,0,8,33
Гречана каша на воді,К,4.6,1.1,24.3,129
Гречана крупа (суха),К,12,4,62,336
Гриби шампіньйони,П,4.3,1.0,1.0,27
Груша,Ф,0.4,0,10,41
Диня,Ф,0,0,11,55
Желатин,П,85,0,0,355
Зажарка,Ж,2.0,12.0,6.0,140
Заморожені овочі мікс,К,2.25,0,7.5,82
Зелень мікс (рукола салат червона капуста),ОК,1.7,0.3,4.5,30
Зелень мікс (рукола салат),ОК,1.8,0.3,2.5,18
Ізюм,Ф,0,0,70,290
Ікра минтая,П,28.8,2.5,0,102
Індичка (грудка),П,25,1,0,110
Інжир свіжий,Ф,0.5,0,13,60
Інжир сушений,Ф,1,0,70,280
Йогурт фруктовий,М,2.7,2.5,13.4,87
Кабачок,ОК,1.2,0.2,4,24
Кальмар,П,17.7,0,0,100
Камбала,П,16.4,2.9,0,123
Капуста білокачанна,ОК,1.8,0.2,6,27
Капуста кольорова,ОК,2,0.3,5,30
Капуста червона,ОК,1.4,0.2,7.4,31
Карась,П,17.7,3.1,0,113
Карп,П,16.7,5,0,114
Картопля (сирa),К,2,0,19,81
Картопля варена,К,2,0,16,82
Картопля молода,К,2.5,0,12.5,78
Картопля смажена,К,3,10,30,198
Кетчуп,ОК,1.8,0.2,22.2,93
Кефір 0%,М,3,0,5,90
Кефір 1%,М,2.8,1.2,4,100
Кефір 3.5%,М,2.6,3.5,2.5,75
Кешью,О,18,44,30,647
Кисіль,Ф,0,0,13,54
Клубника,Ф,1,0,8,50
Козинак соняшниковий,Ж,16.4,45.5,25.7,505
Крабові палички,П,7,1,14,73
Креветки варені,П,19.2,2.5,0,114
Крижовник,Ф,0.7,0,9,60
Кріп свіжий,ОК,2.5,0.5,6.3,43
Кукурудза солодка консервована,К,3.4,1.5,19,96
Курага,Ф,1,0,56,236
Курка (печінка варена),П,26.3,6.3,2.5,167
Курка (печінка сире),П,19,6,1,136
Курка (серце варене),П,20.3,10.8,1.4,179
Курка (філе грудка) варена,П,30,3.8,0,152
Курка (філе грудка),П,23,1,0,110
Курка (філе копчене з приправами),П,29,4,1,160
Ківі,Ф,1,0,11,50
Кілька солена,П,17,8,0,137
Кіп'яток,ОК,0,0,0,0
Лаваш листовий,К,12,0,60,228
Ледяна риба,П,17.7,2.3,0,117
Майонез,Ж,0,60,1,50
Мак,О,17.5,41.5,28.1,525
Малина,Ф,1,0,12,60
Мандарин,Ф,1,0,9,35
Манна крупа,К,16,1,68,328
Маргарин,Ж,0,80,0,717
Маслини,Ж,0.5,12,3,115
Масляна риба,П,19,4.1,0,134
Мед,Ф,0,0,78,312
Мигдаль,О,21,55,20,643
Минтай варений,П,17.3,0.7,0,120
Молоко 1.5%,М,2.8,1.5,5,110
Молоко 2.5%,М,3,3,5,53
Молоко 3%,М,3,3,5,100
Морква варена,Ф,0.7,0,6,25
Морква свіжа,Ф,0.9,0,7,32
Моцарелла,М,7,6,1,80
Насіння кунжуту,O,18,50,23,573
Насіння льону,O,18,42,28,534
Огірок консервований,ОК,0.5,0.1,3,15
Огірок свіжий,ОК,0.6,0.1,3,12
Ожина,Ф,1,0,5,62
Оливки,Ж,0.5,8,4,100
Оливкова олія,Ж,0,100,0,898
Пангасіус,П,15.1,3.3,0,134
Перець чорний мелений,ОК,10.4,3.3,38.3,251
Перлова каша розсипчаста,К,3.3,0,23.3,107
Перлова крупа (суха),К,9.2,1.2,66.4,320
Персик консервований,Ф,0.4,0.1,16.0,68
Персик,Ф,0.9,0,10.1,42
Полуниця,Ф,0.7,0,8,50
Помідор,ОК,0.9,0.2,4,19
Помідори Chery,ОК,0.9,0.2,3.9,18
Путассу,П,16.4,0.7,0,100
Пшенична каша розсипчаста,К,4.7,1,26,135
Пшона каша на воді,К,3,0.7,17,90
Пшоно (крупа суха),К,11.2,3.2,66.4,348
Рис варений,К,1.9,0.1,21.8,97
Рис дикий (сухий),К,8.9,3.7,55.6,293
Рисова крупа (суха),К,7,1,70,330
Свинина (печінка),П,19.2,4,0,135
Свинина (почки),П,12.9,5.9,0,136
Свинина (серце),П,15.1,5.3,0,134
Свинина жирна,П,11.6,49.1,0,484
Свинина нежирна,П,16.3,27.9,0,318
Сир Гауда,М,7,8,0,100
Сир Едем,М,7,8,1,99
Сир адигейський,М,8,8,0,105
Сир голландський,М,7,8,0,99
Сир копчений,М,9,7,0,100
Сир плавлений,М,11,6,1,99
Сир російський,М,7,8,0,102
Сир швейцарський,М,8,8,0,110
Скумбрія,П,14,7,0,126
Слива,Ф,1,0,12,51
Сливки 10%,Ж,2,5,2,60
Сметана 15%,Ж,2,5,2,47
Сметана 20%,Ж,2,5,2,52
Сметана 30%,Ж,1,5,1,50
Смородина біла,Ф,0.6,0,9,60
Смородина червона,Ф,0.5,0,9,58
Смородина чорна,Ф,0.5,0,10,61
Сода харчова,ОК,0.0,0.0,0.0,0
Сонячникове насіння,O,21,51,20,584
Соняшникова олія,Ж,0,100,0,899
Соус йогуртно-часниковий,Ж,4,35,7,350
Ставрида,П,19,5,0,119
Судак,П,19.2,0.8,0,97
Сулугуні,М,8,8,0,108
Суміш злаків Nowak,К,12,4,60,328
Суп,К,4,2,30,227
Сухарі панірувальні,К,13.0,5.0,73.0,360
Сушка,К,10,0,60,300
Сьомга свіжа,П,21,6,0,135
Сібас,П,17.6,2.9,0,135
